State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharashtra,Latur,MIDC Water Works,641,RIRuO,NA,99,20,264,96,30,173,56,40,Critical
Maharashtra,Latur,Kshewraj Vidyalaya Shyam nagar,642,RIRuO,NA,104,25,281,109,43,189,60,47,Critical
Maharashtra,Latur,Sidhheshwar Sahakari Bank Ganjgolai,643,RIRuO,NA,103,24,343,144,78,215,55,78,Critical
Maharashtra,Lote,MIDC Chalkewadi,489,RIRuO,NA,18,13,67,36,20,55,16,0,Null
Maharashtra,Lote,"Pump House, CETP",490,RIRuO,NA,18,19,54,43,29,53,11,0,Null
Maharashtra,Mumbai,"Bank of India, Kalbadevi Branch, Kalbadevi",169,RIRuO,NA,81,35,302,117,59,202,59,49,Critical
Maharashtra,Mumbai,"Parel TT, Ambedkar Road",170,RIRuO,NA,76,35,300,148,47,271,89,51,Critical
Maharashtra,Mumbai,Worli,349,RIRuO,NA,75,27,277,87,31,152,50,36,High
Maharashtra,Nagpur,Institution of Engineers,287,RIRuO,NA,103,37,324,98,53,153,42,40,Critical
Maharashtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,NA,103,30,218,88,54,140,37,24,High
Maharashtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,NA,101,43,411,129,67,236,71,59,Critical
