State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Punjab,Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur Rd",504,RIRuO,NA,125,75,291,128,84,183,41,68,Critical
Punjab,Dera Bassi,"Winsome Yarns Ltd., Barwala Road",505,RIRuO,NA,107,76,275,130,83,196,45,70,Critical
Punjab,Pathankot/Dera Baba,C-PYTE Building,590,RIRuO,NA,102,47,107,68,60,82,9,1,High
Punjab,Gobindgarh,"Modi Oil and General Mills, Mandi",302,RIRuO,NA,130,67,221,133,89,196,39,80,Critical
Punjab,Gobindgarh,"Raj Steel Rolling Mills, Mandi",301,RIRuO,NA,132,98,362,233,174,319,51,99,Critical
Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",483,RIRuO,NA,132,105,432,237,138,321,67,100,Critical
Punjab,Jalandhar,Municipal Council Tubewell No. 27,353,RIRuO,NA,51,116,228,149,123,196,29,100,Critical
Punjab,Jalandhar,Regional Office,176,RIRuO,NA,86,103,170,124,111,136,13,100,Critical
Punjab,Jalandhar,Focal Point,392,RIRuO,NA,54,111,175,148,131,168,15,100,Critical
Punjab,Khanna,"Markfed Vanaspati, Khanna",485,RIRuO,NA,55,100,412,225,118,118,93,98,Critical
Punjab,Khanna,"AS School, Khanna",484,RIRuO,NA,50,80,371,200,135,266,57,98,Critical
Punjab,Ludhiana,Bharat Nagar Chowk,422,RIRuO,NA,107,53,383,192,104,274,68,92,Critical
Punjab,Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",76,RIRuO,NA,109,112,525,252,142,394,92,100,Critical
Punjab,Ludhiana,"Ludhiana Coop. Milk Producer, Ferozpur Rd",61,RIRuO,NA,117,54,764,221,112,346,104,91,Critical
Punjab,Ludhiana,"PPCB Office Building, Vishavkarma Chowk",335,RIRuO,NA,136,92,417,246,162,345,70,99,Critical
Punjab,Naya Nangal,Punjab Alkalis & Chemicals Ltd,420,RIRuO,NA,89,51,195,87,64,113,23,19,High
Punjab,Naya Nangal,"M/s NFL Guest House,Naya Nangal",421,RIRuO,NA,87,45,156,90,60,119,24,34,High
Punjab,Patiala,"Ceylon Industries, Factory Area, Patiala",600,RIRuO,NA,95,49,137,21,92,33,31,67,Low
Punjab,Patiala,"Fire Brigade Station, Bahera Road, Patiala",599,RIRuO,NA,122,54,183,104,76,134,25,48,Critical
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,NA,93,16,149,43,55,28,15,1,Moderate
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,NA,43,37,73,50,56,42,7,0,Null
Puducherry,Puducherry,Chamber Of Commerce,337,RIRuO,NA,89,17,42,32,38,25,5,0,Moderate
Rajasthan,Alwar,Rajasthan State Pollution Control Board,372,ES,Aravali range,100,19,378,147,52,252,79,67,Critical
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,373,ES,Aravali range,95,18,408,156,46,254,85,72,Critical
Rajasthan,Alwar,"RIICO Pump House, MIA",219,ES,Aravali range,105,23,310,152,53,250,74,73,Critical
Rajasthan,Jaipur,Ajmeri Gate,296,RIRuO,NA,98,13,705,157,67,241,93,78,Critical
Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",298,RIRuO,NA,101,11,417,124,52,210,76,58,Critical
Rajasthan,Jaipur,"District Education Officer, Chandpole",408,RIRuO,NA,98,14,964,209,84,341,121,84,Critical
Rajasthan,Jaipur,"RIICO Office, M.I.A.",410,RIRuO,NA,98,11,404,128,46,199,64,67,Critical
Rajasthan,Jaipur,"RSPCB, Vidyadhar Nagar",409,RIRuO,NA,95,13,797,268,108,416,129,92,Critical
Rajasthan,Jaipur,VKIA,297,RIRuO,NA,96,13,567,234,72,396,123,84,Critical
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,NA,101,27,348,129,67,197,53,67,Critical
Rajasthan,Jodhpur,Sojati Gate,273,RIRuO,NA,100,29,757,234,153,297,87,97,Critical
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,NA,96,53,489,224,148,303,79,96,Critical
Rajasthan,Jodhpur,Maha Mandir Police Thane,376,RIRuO,NA,104,51,659,229,135,323,82,97,Critical
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,NA,98,17,562,140,66,218,76,69,Critical
Rajasthan,Jodhpur,Shastri Nagar Police Thana,412,RIRuO,NA,102,43,503,179,89,283,83,86,Critical
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,NA,105,29,390,175,68,275,79,78,Critical
Rajasthan,Kota,Municipal Corporation Building,326,RIRuO,NA,102,25,429,147,50,245,79,66,Critical
Rajasthan,Kota,Samcore Glass Ltd.,325,RIRuO,NA,104,27,580,147,46,222,79,74,Critical
Rajasthan,Udaipur,Ambamata,320,RIRuO,NA,102,43,315,119,62,178,47,64,Critical
Rajasthan,Udaipur,Town Hall,294,RIRuO,NA,104,56,413,134,86,187,48,75,Critical
Rajasthan,Udaipur,"Regional Office,MIA",321,RIRuO,NA,104,56,544,212,84,339,95,86,Critical
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam",38,RIRuO,NA,93,37,160,86,55,128,27,27,High
Tamilnadu,Chennai,"Govt. High School, Manali",71,RIRuO,NA,98,31,349,76,49,99,34,10,High
Tamilnadu,Chennai,Thiruvottiyur,72,RIRuO,NA,91,32,151,82,54,107,23,20,High
Tamilnadu,Chennai,Madras Medical College,159,RIRuO,NA,95,3,87,24,5,50,17,0,Low
Tamilnadu,Chennai,"NEERI, CSIR CampusTaramani",160,RIRuO,NA,94,9,82,31,15,48,16,0,Moderate
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,161,RIRuO,NA,95,3,135,45,19,74,22,1,Moderate
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",375,RIRuO,NA,76,17,144,61,27,106,29,11,High
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,NA,97,23,195,68,45,92,27,9,High
Tamilnadu,Coimbatore,"SIDCO Office, Coimbatore/ Kurichi",237,RIRuO,NA,93,36,271,75,51,106,29,16,High
Tamilnadu,Madurai,Highway (Project -I) Building,306,RIRuO,NA,98,18,71,45,12,58,31,0,Moderate
Tamilnadu,Madurai,Fenner (I) Ltd. Kochadai,307,RIRuO,NA,103,31,78,51,36,67,12,0,Moderate
Tamilnadu,Madurai,Kunnathur Chatram Avvai Girls HS School,308,RIRuO,NA,88,26,76,49,38,59,9,0,Moderate
Tamilnadu,Salem,Sowdeswari College Building,309,RIRuO,NA,135,19,158,60,39,88,22,5,Moderate
Tamilnadu,Tuticorin,"Fisheries College, Tuticorin Sipcot",239,RIRuO,NA,100,35,551,124,62,185,68,62,Critical
Tamilnadu,Tuticorin,Raja Agencies,240,RIRuO,NA,99,45,498,167,75,297,95,75,Critical
Tamilnadu,Tuticorin,AVM Jewellery Building,366,RIRuO,NA,94,15,351,110,44,191,61,50,Critical
Tamilnadu,Trichy,Gandhi Market,769,RIRuO,NA,31,64,150,100,83,115,16,52,Null
Tamilnadu,Trichy,Main Guard Gate,770,RIRuO,NA,26,56,101,78,65,93,13,4,Null
Tamilnadu,Trichy,Bishop Heber College,771,RIRuO,NA,33,33,51,40,34,45,5,0,Null
Tamilnadu,Trichy,Golden Rock,772,RIRuO,NA,28,34,60,45,37,53,7,0,Null
Tamilnadu,Trichy,Central Bus Stand,773,RIRuO,NA,30,95,148,114,104,124,11,93,Null
Uttar Pradesh,Agra,"Regional Office, Bodla",323,ES,Taj-trapezium,68,74,497,190,125,282,82,94,Critical
Uttar Pradesh,Agra,Nunhai,324,ES,Taj-trapezium,66,91,585,218,133,293,93,96,Critical
Uttar Pradesh,Agra,Taj Mahal,1,ES,Taj-trapezium,285,11,616,176,27,298,116,74,Critical
Uttar Pradesh,Agra,DIC Nunhai,415,ES,Taj-trapezium,116,35,620,234,66,398,128,81,Critical
Uttar Pradesh,Agra,Etmad-uddaulah,416,ES,Taj-trapezium,126,16,538,182,42,340,121,73,Critical
Uttar Pradesh,Agra,Rambagh,417,ES,Taj-trapezium,124,21,621,174,46,285,106,73,Critical
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,NA,107,90,814,347,227,475,112,99,Critical
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,NA,99,143,459,287,212,375,69,100,Critical
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,NA,93,87,162,132,108,152,18,66,Critical
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,NA,93,89,170,137,112,159,19,65,Critical
Uttar Pradesh,Bareily,IVRI Izatnaga,714,RIRuO,NA,77,136,321,203,159,246,35,100,Critical
Uttar Pradesh,Bareily,"Indian oetrol pump, Civil Line",715,RIRuO,NA,72,194,327,260,229,310,103,100,Critical
Uttar Pradesh,Firozabad,Center for Development of Glass Industry,399,ES,Taj-trapezium,90,63,415,222,96,343,93,87,Critical
Uttar Pradesh,Firozabad,Tilak Nagar,400,ES,Taj-trapezium,96,58,474,208,75,305,91,79,Critical
Uttar Pradesh,Firozabad,Raza ka Tal,401,ES,Taj-trapezium,96,60,371,205,86,307,78,83,Critical
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,NA,99,50,304,153,101,201,41,90,Critical
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,NA,100,50,374,162,106,228,52,94,Critical
